NO,식품명,1회제공량,에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
1,꿩불고기,500,368.8,39.7,33.5,8.5,1.9,16.9,9.8,105.61,0,85.39,1264.31,106.18
2,닭갈비,400,595.61,44.9,45.9,25.8,6,21.2,11.6,98.64,0,104.42,1535.83,193.4
3,닭갈비,300,558.47,23.1,45.5,31.6,11.3,8.5,6.6,63.06,0,77.07,1016.94,217.67
4,닭꼬치,70,176.72,13.35,11.56,8.57,2.32,3.15,2.07,17.68,0,0,286.91,31.44
5,더덕구이,100,184,31.1,3.1,5.2,0.8,11.6,6.8,46.42,0,38.21,743.37,0.12
6,돼지갈비,100,240.32,8.1,19.5,14.4,4.7,4.5,0.3,47.21,0,20.74,404.66,49.34
7,불고기,150,395.29,7.8,34.4,25.2,6.6,7.9,1.2,12.31,0,36.22,560.71,68.85
8,붕장어소금구이,100,296.54,11.6,26,16.2,3.6,0.4,1,164.09,0,37.38,124.75,167.07
9,소양념갈비구이,300,989.15,26.2,60.1,71.6,27.2,13.9,7.5,85.27,0,59.1,1378.45,186.63
10,양념왕갈비,150,480.81,13.7,27.1,35.3,13,6.8,1.4,31.21,0,26.29,548.76,58.52
11,양념장어구이,150,433.35,8.8,30.77,30.56,7.1,4.18,1.31,215.4,0,0,704.64,215.24
12,임연수구이,250,494,3.5,53.8,29.4,6.1,0,1,267.44,0,112.24,1568.96,212.61
13,햄버그스테이크,200,457.7,20.76,26.96,29.65,9.41,5.33,5.67,82.51,0,48.81,950.22,70.28
14,황태구이,200,437.57,26.9,47.8,15.4,2.4,14.2,3,280.1,0,82.09,1135.33,211.58
15,훈제오리,250,797.14,12.08,43.06,64.07,15.98,0.27,1.36,38.49,0,41.16,1220.37,171
16,게국지,1100,415.25,31.7,44.9,12.1,2,10.8,24.4,1320.57,0,273.74,4047.26,388.15
17,곰치국,1000,419.29,23.9,54.3,11.8,1.4,2.8,18.7,711.95,0,176.15,3802.06,476.47
18,굴국밥,650,683,88.4,42.4,17.8,3.9,0.3,6.1,194.25,0,125.52,1635.39,518.37
19,김치국,450,89,10.5,5.4,2.8,0.3,2.9,4.5,113.75,0,60.98,1642.08,0
20,떡만둣국,700,624.92,110.71,20.06,11.32,3.44,0.16,8.56,99.72,0,0,1980.19,122.42
21,만둣국,700,434.05,47.83,21.43,17.44,4.24,3.05,32.12,123.61,0,0,2367.99,94.52
22,맑은감자국,700,221,34.6,8.3,5.5,0.2,5.2,5.1,115.56,0,90.16,1712.29,5.46
23,매생이국,500,119,13.4,10,2.8,0.6,0.4,9.6,125.77,0,170.21,1420.3,6.62
24,무된장국,450,104,14.7,6.1,2.4,0.3,5.9,5.9,90.18,0,57.27,1741.46,0
25,미소된장국,150,38,2.8,2.8,1.8,0.2,0.7,0.8,27.34,0,15.1,517.03,0
26,바지락조개국,550,157,10.1,22,3.1,0.6,1.3,8,369.14,0,119.82,1596.17,89.36
27,뼈다귀해장국,1000,714,23.4,74.6,35.7,14.3,5.7,17,670.27,0,131.35,3088.21,321.72
28,선지해장국,1000,312,16.7,49.3,5.4,2.7,3.9,9.5,206.72,0,92.03,3074.53,230.52
29,소고기무국,400,123,7.8,14.2,4,1.3,3.5,3.1,59.21,0,42.86,1067.02,38.43
30,시래기된장국,450,99,11,6.7,3.1,0.3,1.3,6,213.27,0,55.68,1523.66,0
31,올갱이국,600,144.26,13,13.7,4.2,0.8,1.6,5.9,391.17,0,189.07,2017.16,85.36
32,우거지해장국,600,154.38,13.5,11.9,5.9,1.2,2.5,8.5,198.55,0,68.67,2049.59,22.37
33,우렁된장국,500,245,19.2,24.6,7.7,1.1,3.6,8.1,656.62,0,147.29,2134.21,105.38
34,홍합미역국,650,167,11.6,19.7,4.7,0.9,0,9.5,227.69,0,175.68,2043.68,58.4
35,황태해장국,600,181.7,5.7,24.5,6.8,1.1,1.5,5.4,164.63,0,73.68,1533.09,150.3
36,고추잡채,200,256.77,26.17,10.99,12.01,2.11,2.09,4.57,32.84,0,0,828.55,39.26
37,난자완스,200,346.25,19.15,21.63,20.35,4.59,0.49,3.35,33.73,0,0,703.23,76.76
38,도토리묵말이,1300,462.39,89.7,6.8,8.5,1.2,6.3,14.4,164.34,0,78.82,3206.03,0
39,라조기,200,398.99,26.23,20.66,23.49,5.15,0.15,2.83,72.17,0,0,648.52,90.58
40,물회,700,529.36,55.3,34.4,18.9,2.8,20,15.1,212.11,0,119.79,2095.9,120.26
41,생선물회,800,577.97,82.5,34.3,12.3,2,52,11.2,185.95,0,128.24,2779.74,101.88
42,소고기샤브샤브,600,263.75,14.7,29.1,9.8,3.7,2.4,9.6,95.99,0,52.7,1122.4,76.02
43,오징어순대,350,466.86,58.3,45.7,5.6,1.4,0.4,4.4,78.43,0,128.85,1258.71,517.44
44,초당순두부,900,522.69,15.8,49.1,29.2,3.8,0.9,10.5,333.22,0,423.22,1203.36,0
45,해파리냉채,150,91,13.4,6.2,1.4,0.3,11.4,2.1,44.36,0,16.8,508.77,40.33
46,고들빼기,50,55.53,10.93,1.58,0.61,0.07,2.84,2.85,25.64,0,17.01,742.43,2.98
47,열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.04,0.46,1.57,39.42,0,16.66,339.9,1.03
48,미나리나물,50,29.53,2.24,1.02,1.83,0.25,0,1.77,38.84,0,11.96,150.33,0
49,취나물,50,74.1,3.31,1.37,6.15,0.84,0,3.26,74.62,0,13.84,281.86,0
50,경단(깨),100,319.47,74.22,4.44,0.54,0.46,26.64,5.44,62.25,0,40.58,180,0
51,경단(콩),100,314.32,74.03,3.51,0.46,0.19,20.55,2.43,10.41,0,16.31,225.83,0
52,기피편,100,219.97,48.99,5.45,0.25,0.13,2.08,5.13,12.33,0,25.27,281.06,0
53,녹두시루떡,100,246.07,48.08,7.74,2.53,0.52,4.05,4.9,25.81,0,40.9,263.66,0
54,메밀전병,100,167.83,21.62,6.18,6.29,1.19,0.62,3.53,35.64,0,36.74,345.8,8.05
55,무지개떡,100,228.97,53.01,3.53,0.31,0.16,8.99,0.21,9.71,0,0,276.82,0
56,송편(깨),100,224.15,44.96,4.92,2.74,0.48,1.15,4.82,70.51,0,31.91,231.82,0
