NO,식품명,1회제공량(g),에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
40,가지나물무침,50,17.95,2.09,0.71,0.75,0.11,1.17,1.33,11.6,0.12,8.39,137.08,0
93,간장게장,250,155.4,15.09,17.56,2.76,0.39,10.53,2.75,162.26,2.37,107.45,2722.89,122.28
134,갈비탕,670,363.24,2.68,57,13.83,5.27,0.77,12.43,96.86,7.1,45.64,1330.59,210.78
106,갈치조림,100,100.82,6.16,12.72,2.81,0.59,6.29,2.63,35.99,0.52,31.64,567.55,50.49
107,감자조림,50,56.79,9.05,1.2,1.76,0.21,3.84,0.91,8.76,0.23,11.75,243.52,0
135,감자탕,530,375.69,12.03,33.43,21.54,6.15,0,12.48,202.2,5.61,54.42,1739.85,204.22
46,경단,100,319.47,74.22,4.44,0.54,0.46,26.64,5.44,62.25,0,40.58,180,0
14,계란국,400,52.37,2.74,3.73,2.94,1.06,0,0.81,20.95,0.78,5.38,984.54,124.44
99,계란프라이,60,124.53,3.09,9.44,8.27,2.23,0.02,5.03,31.18,1.19,8.03,96.71,196.63
2,고등어구이,200,551.8,0.4,47.65,39.95,10.18,0.45,1.96,260.01,2.59,73.54,1210,112.67
108,고등어조림,100,113,7,10,5,0.1,3,0,0,0,0,310,0
41,고사리나물,50,44.97,3.14,1.89,2.76,0.35,0.25,2.82,34.83,0.58,17.93,220.71,0
136,곰탕,600,145.15,0.66,20.57,6.69,2.44,0,6.32,42.65,2.68,18.15,744.08,54.25
69,김밥,230,322.56,45.95,11.14,10.47,2.54,0,3.13,81.95,0.69,28.36,705.16,44.4
70,김치볶음밥,330,550.64,51.93,17.56,30.3,4.73,45.85,9.35,98.06,2.3,51.2,1549.8,232.34
100,김치전,150,201.08,28.51,7.58,6.3,1.3,6.32,3.67,64.6,0.94,25.43,360.13,82.36
119,김치찌개,400,243.03,11.93,15.07,15,2.76,3.02,8.42,151.76,0,0,1962.14,25.18
30,깍두기,50,16.4,2.12,0.78,0.53,0.02,1.27,1.07,22.7,0.14,15.41,403.75,1.53
95,깻잎장아찌,20,20.18,3.11,0.41,0.68,0.02,0.71,0.64,20.08,0.53,2.57,317.18,0
127,꼬막찜,200,192.87,13.93,24.06,4.55,1.18,2.06,5.72,145.09,17.05,110.47,1472.19,76.6
109,꽁치조림,100,243.51,5.14,15.52,17.87,3.52,4.05,3.56,77.59,1.29,28.18,349.67,32.81
62,꽈리고추무침,100,103.92,17.69,3.59,2.09,0.37,0.44,4.38,26.74,0.64,24.81,315.91,0
47,꿀떡,100,228.48,49.48,3.74,1.73,0.3,0.29,0.8,15.35,0.36,22.61,275.08,0
31,나박김치,100,9.82,1.15,0.46,0.38,0.02,0.34,0.81,7.87,0.2,6.56,377.45,0
71,누룽지,30,111,22,3,1.4,0,0,1.8,0,1.3,38,20,0
128,닭볶음탕,300,332.04,25.57,35.74,9.65,3.57,1.25,4.37,58.51,1.92,70.56,1129.49,127.32
63,도라지무침,50,65.04,6.56,1.24,3.76,0.5,0.45,2.44,23.76,0.22,19.43,205.51,0
64,도토리묵,100,45.6,10.38,0.29,0.32,0.03,0.43,0.94,12.67,0,4.25,124.15,0
101,동그랑땡,150,309.2,12.68,19.62,20,4.66,0.98,3.65,98.4,0,41.2,553.09,103.27
122,된장찌개,200,91.91,8.87,6.76,3.26,0.53,0,3.18,41.3,1.4,49.59,635.98,0
110,두부조림,50,71.55,2.2,4.82,4.83,0.68,1.82,0.4,26.71,0.74,42.06,80.66,0
111,땅콩조림,20,96.52,3.99,3.75,7.28,1.16,1.97,2.05,17.53,0.32,34.27,114.74,0
6,떡갈비,200,403.4,4.92,42.76,23.63,8.58,0.79,2.13,43.17,5.8,38.05,807.59,136.07
